WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1933,3,1934-03-26,1934-03-28,1934.03,180.96466672769355
1947,31,1948-03-04,1948-04-03,1948.03,106.174038204079
1951,19,1952-03-02,1952-03-20,1952.03,104.96424255851773
1952,9,1953-03-21,1953-03-29,1953.03,187.48785487235665
1955,12,1956-05-05,1956-05-16,1956.05,115.16473533738484
1956,27,1957-03-02,1957-03-28,1957.03,105.90248185892814
1957,60,1958-02-03,1958-04-03,1958.02,110.16446126002451
1960,22,1961-04-02,1961-04-23,1961.04,100.59902767366192
1961,6,1962-04-05,1962-04-12,1962.04,104.18885343204313
1962,44,1963-03-03,1963-04-15,1963.03,89.59241087714207
1968,59,1969-03-03,1969-04-30,1969.03,94.63605854509984
1977,32,1978-04-03,1978-05-04,1978.04,87.23769431519811
2008,13,2009-03-17,2009-03-29,2009.03,149.5987384442565
