RainMonth,MonthName,Month,Mwinilunga_mean,Livingstone_mean,Mongu_mean,Zambezi_mean,Kaoma_mean,Luena_mean
1,Jul,7,0.13513513513513514,0.09523809523809523,0.0,0.00392156862745098,0.014705882352941176,0.0
2,Aug,8,1.422972972972973,0.37142857142857144,0.8081967213114755,0.3490196078431372,0.41911764705882354,1.4527777777777777
3,Sep,9,17.06891891891892,2.2809523809523813,2.7934426229508196,7.445098039215688,3.751470588235295,20.077777777777776
4,Oct,10,87.57432432432431,21.398809523809526,27.493442622950823,44.766666666666666,33.60882352941176,91.55555555555556
5,Nov,11,209.6662162162162,78.28690476190478,100.17540983606557,137.62156862745098,115.2926470588235,166.96666666666667
6,Dec,12,260.1175675675675,176.7380952380952,193.76885245901641,198.7313725490196,217.3308823529412,223.7472222222222
7,Jan,1,241.62567567567567,175.25238095238095,213.92950819672123,222.94313725490193,211.81470588235294,216.13888888888889
8,Feb,2,211.35405405405413,157.95238095238093,207.56557377049174,203.22352941176473,191.55294117647048,181.925
9,Mar,3,253.86891891891895,95.52738095238095,139.54754098360655,160.862,133.45000000000002,196.02777777777777
10,Apr,4,95.23243243243243,23.978571428571428,39.9311475409836,36.02999999999999,32.14852941176471,93.36388888888888
11,May,5,9.245945945945945,5.213095238095238,3.2606557377049183,2.502,3.2470588235294118,6.152777777777778
12,Jun,6,0.777027027027027,0.6011904761904762,0.6131147540983608,0.556,0.1735294117647059,0.35
